event_id,event_date,event_title,country_name,admin_division_name,latitude,longitude,landslide_category,landslide_trigger,landslide_size,fatality_count,injury_count
4384,06/03/2012 12:00:00 AM,"between Haflong and  Bagetar, Assam",India,Assam,25.1775,93.0123,landslide,downpour,medium,,
4383,06/03/2012 12:00:00 AM,"between Maibang and Daotohaja, Assam",India,Assam,25.3056,93.1265,landslide,downpour,medium,,
7375,08/01/2015 12:00:00 AM,Ukhrul NH 201-Jessami road,India,Manipur,25.1941,94.4481,landslide,continuous_rain,medium,0.0,0.0
4861,05/12/2013 12:00:00 AM,"Khongsang, Tamenglong, Manipur,",India,Assam,24.9926,93.4946,mudslide,rain,medium,,
7972,08/28/2015 01:45:00 AM,"Mizoram, India",India,Mizoram,23.4495,92.8112,landslide,downpour,large,0.0,0.0
3831,07/22/2011 12:00:00 AM,Heibok Hills,India,Manipur,24.7992,93.948,landslide,downpour,medium,0.0,
5584,10/06/2013 12:00:00 AM,"Nilachal Hill, Guwahati, Assam",India,Assam,26.1665,91.7049,landslide,downpour,medium,0.0,
7387,08/01/2015 12:00:00 AM,Imphal-Ukhrul road,India,Manipur,24.954,94.2156,landslide,continuous_rain,small,0.0,0.0
2573,10/09/2010 12:00:00 AM,"Haflong, Assam",India,Assam,25.1796,93.0083,mudslide,downpour,medium,1.0,
9010,07/16/2016 12:00:00 AM,"Hoj-Potin Highway, Arunachal Pradesh, India",India,Arunachal Pradesh,27.3034,93.804,mudslide,downpour,medium,1.0,0.0
6331,09/08/2014 12:00:00 AM,Kiphire-Seyochung road near Yangzitong village,India,Nagaland,25.9466,94.6279,mudslide,unknown,medium,0.0,0.0
1987,06/15/2010 12:00:00 AM,"rails between Mahur and Wadringdisa(?), Assam",India,Assam,25.2269,93.1658,landslide,downpour,medium,0.0,
7910,08/01/2015 12:00:00 AM,Chandel,India,Manipur,24.3481,94.1146,landslide,unknown,medium,0.0,0.0
6775,02/14/2015 12:00:00 AM,Kailashpur hill,India,Assam,26.1468,91.6469,landslide,mining,small,1.0,2.0
6786,02/19/2015 11:00:00 PM,"Hailākāndi : Two labourers died while another was injured in a landslide in Assam's Hailakandi district, the police said today.",India,Assam,24.6108,92.562,landslide,mining,medium,2.0,1.0
6291,09/21/2014 12:00:00 AM,National Highway 51,India,Meghalaya,25.7354,90.3852,landslide,continuous_rain,large,0.0,0.0
6213,09/24/2014 12:00:00 AM,Meghalaya,India,Meghalaya,25.8143,90.5763,landslide,continuous_rain,large,0.0,0.0
9336,05/18/2016 08:00:00 AM,"Ramchandi , Hailakandi District, Assam, India",India,Assam,24.5308,92.5121,landslide,continuous_rain,small,1.0,0.0
9604,10/12/2016 12:00:00 AM,Legship,India,Sikkim,27.2676,88.2891,landslide,continuous_rain,medium,0.0,0.0
7837,08/27/2015 12:00:00 AM,three graveyards within Aizawl,India,Mizoram,23.7269,92.7265,landslide,downpour,medium,0.0,0.0
7267,07/22/2015 12:00:00 AM,NH-2 between Senapati and Mao,India,Manipur,25.3908,94.0926,landslide,continuous_rain,small,0.0,0.0
4848,05/08/2013 12:00:00 AM,"Purba Simna, Tripura",India,Tripura,24.0896,91.4663,landslide,rain,medium,1.0,
9122,07/20/2016 12:00:00 AM,"Noonmati, Guwahati, Assam, India",India,Assam,26.1966,91.802,landslide,rain,medium,0.0,0.0
2574,10/09/2010 12:00:00 AM,"between Mahur and Maigrandisa(?) or Lumding, Assam",India,Assam,25.4749,93.1477,landslide,downpour,medium,0.0,
6282,09/22/2014 12:00:00 AM,Lalmati,India,Assam,26.1097,91.7747,landslide,rain,small,1.0,0.0
6289,09/22/2014 12:00:00 AM,Pamohi,India,Assam,26.1001,91.6849,landslide,rain,small,0.0,0.0
9087,07/19/2016 12:00:00 AM,"5 km off Sangam point on Aalo- Pangin road, Arunachal Pradesh, India",India,Arunachal Pradesh,28.235,94.9612,landslide,downpour,medium,0.0,0.0
130,07/19/2007 12:00:00 AM,Guwahati,India,Assam,26.1699,91.7986,landslide,rain,medium,6.0,
